coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
#928398,7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,85.67
#948279,8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,85.67
#127725,7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,85.58
#717129,7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5
#300191,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5
#741300,8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5
#888419,8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5
#829336,8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42
#460896,8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,87.42
#389965,8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42
#894623,8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,85.33
#778206,7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,85.33
#611011,8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,85.33
#917098,7.67,7.83,7.83,8,8,8,10,10,10,8,0,85.33
#736196,8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,85.25
#387213,8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25
#423394,7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,85.25
#197220,8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,85.25
#259403,7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17
#877064,8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,87.17
#546930,8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,85.08
#994657,8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,85.08
#725808,8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,85.08
#614786,7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85
#280251,8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,85
#938229,7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85
#261460,8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,85
#952428,7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,85
#599652,7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,84.92
#647123,7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92
#270359,8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,87.08
#680765,8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,84.83
#699883,7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,84.83
#541397,8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,84.83
#777610,7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83
#350205,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83
#508075,7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,84.75
#458680,7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,84.75
#994915,7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75
#874548,7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,84.75
#444508,7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67
#194737,8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,87
#975481,7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67
#940597,8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,84.58
#695532,8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,84.58
#917862,7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,84.58
#210044,7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,0,84.58
#240429,7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,84.58
